... building the model
... training
epoch 311, test error 107, learning_rate=0.537615001202
epoch 312, test error 99, learning_rate=0.536539793015
epoch 313, test error 106, learning_rate=0.535466730595
epoch 314, test error 100, learning_rate=0.534395813942
epoch 315, test error 94, learning_rate=0.533327043056 **
epoch 316, test error 97, learning_rate=0.532260417938
epoch 317, test error 95, learning_rate=0.531195938587
epoch 318, test error 98, learning_rate=0.530133545399
epoch 319, test error 100, learning_rate=0.529073297977
epoch 320, test error 97, learning_rate=0.528015136719
epoch 321, test error 101, learning_rate=0.526959121227
epoch 322, test error 101, learning_rate=0.525905191898
epoch 323, test error 97, learning_rate=0.524853408337
epoch 324, test error 100, learning_rate=0.523803710938
epoch 325, test error 100, learning_rate=0.522756099701
epoch 326, test error 103, learning_rate=0.521710574627
epoch 327, test error 101, learning_rate=0.52066719532
epoch 328, test error 95, learning_rate=0.519625902176
epoch 329, test error 92, learning_rate=0.51858663559 **
epoch 330, test error 98, learning_rate=0.517549455166
epoch 331, test error 102, learning_rate=0.516514360905
epoch 332, test error 104, learning_rate=0.515481352806
epoch 333, test error 99, learning_rate=0.51445043087
epoch 334, test error 103, learning_rate=0.513421535492
epoch 335, test error 102, learning_rate=0.512394726276
epoch 336, test error 102, learning_rate=0.511369943619
epoch 337, test error 96, learning_rate=0.510347187519
epoch 338, test error 99, learning_rate=0.509326517582
epoch 339, test error 95, learning_rate=0.508307874203
epoch 340, test error 98, learning_rate=0.507291257381
epoch 341, test error 106, learning_rate=0.506276667118
epoch 342, test error 101, learning_rate=0.505264103413
epoch 343, test error 103, learning_rate=0.504253566265
epoch 344, test error 106, learning_rate=0.503245055676
epoch 345, test error 102, learning_rate=0.502238571644
epoch 346, test error 102, learning_rate=0.50123411417
epoch 347, test error 103, learning_rate=0.500231683254
epoch 348, test error 107, learning_rate=0.499231219292
epoch 349, test error 110, learning_rate=0.498232781887
epoch 350, test error 100, learning_rate=0.497236341238
epoch 351, test error 98, learning_rate=0.496241867542
epoch 352, test error 94, learning_rate=0.495249390602
epoch 353, test error 100, learning_rate=0.494258910418
epoch 354, test error 101, learning_rate=0.493270397186
epoch 355, test error 102, learning_rate=0.492283880711
epoch 356, test error 105, learning_rate=0.491299331188
epoch 357, test error 109, learning_rate=0.490316748619
epoch 358, test error 97, learning_rate=0.489336133003
epoch 359, test error 106, learning_rate=0.488357484341
epoch 360, test error 109, learning_rate=0.487380772829
epoch 361, test error 101, learning_rate=0.486406028271
epoch 362, test error 95, learning_rate=0.485433220863
epoch 363, test error 102, learning_rate=0.484462380409
epoch 364, test error 106, learning_rate=0.483493477106
epoch 365, test error 103, learning_rate=0.482526510954
epoch 366, test error 104, learning_rate=0.481561481953
